ad_id,title,category,keywords,target_page,image_url,ctr,clicks,impressions,details,link
1,Running Shoes Sale,Sports,"running, shoes, exercise",homepage,/static/images/beautiful-shoes-generative-ai-free-photo.jpg,0.65,65,100,"Step into Comfort and Performance with Our Premium Running Shoes ğŸƒ Engineered for athletes and fitness enthusiasts, these high-quality running shoes combine durability, style, and cutting-edge design to give you the ultimate edge in every run. Whether youâ€™re hitting the track, training at the gym, or enjoying a casual jog, our shoes provide unmatched cushioning, breathability, and support. âœ¨Made with lightweight yet sturdy materials, they keep you moving faster, longer, and more comfortably. Designed to reduce impact and enhance stability, every step feels effortlessâ€”so you can focus on breaking limits, not your stride. ğŸš€Perfect for running, exercise, and everyday active wear, these shoes are the ultimate choice for anyone who values performance and comfort without compromising on style.","https://www.nike.com/running"
2,Healthy Protein Bar,Food,"protein, snack, healthy",nutrition,/static/images/protein.jpeg,0.40,40,100,"Our Healthy Protein Bars ğŸ’ª are the perfect blend of taste and nutrition, crafted to give your body the fuel it needs âš¡ while keeping your cravings satisfied . Each bar is packed with high-quality protein ğŸ‹ï¸â€â™‚ï¸ to support muscle recovery and growth, along with essential nutrients ğŸŒ± to keep you energized throughout the day. Whether youâ€™re powering through a tough workout ğŸƒâ€â™€ï¸, managing a busy work schedule ğŸ’¼, or just looking for a guilt-free snack âœ…, these bars are designed to keep you full, focused, and feeling your best âœ¨. Made with wholesome, natural ingredients ğŸ¯ and free from artificial additives ğŸš«, they offer a clean and delicious way to stay on track with your fitness and wellness goals ğŸ¯. With every bite, you get the perfect balance of flavor, energy, and nutrition ğŸ¥—â€”making our protein bars the smart choice for anyone who values health, performance, and taste in one convenient snack ğŸš€.","https://www.myprotein.com"
3,Smartphone Discount,Electronics,"phone, mobile, discount",electronics,/static/images/phone.webp,0.55,55,100,"Upgrade your tech game with the latest smartphones ğŸ“± at unbeatable discounts ğŸ’¸! From lightning-fast performance to stunning displays ğŸŒˆ and powerful cameras ğŸ“¸, these devices are designed to keep you connected, productive, and entertained like never before. Whether you need a phone for work , gaming ğŸ®, photography ğŸ“·, or everyday use ğŸŒ, our exclusive offers give you top-quality smartphones at prices youâ€™ll love â¤ï¸. Donâ€™t miss this chance to grab the perfect mobile companion ğŸ¤ with premium features, long-lasting battery ğŸ”‹, and sleek modern design ğŸ¨â€”all while saving big ğŸ·ï¸. Shop smart, save more, and step into the future of mobile technology today ğŸš€!","https://www.samsung.com/global/galaxy/"
4,Office Chair Clearance,Furniture,"chair, office, ergonomic",office,/static/images/chair.webp,0.20,20,100,"Transform your workspace with our Office Chair Clearance Sale ğŸ’¼â€”featuring stylish, ergonomic, and ultra-comfortable chairs at prices you canâ€™t resist ğŸ’¸. Designed to provide maximum support for your posture ğŸ™Œ and reduce fatigue during long hours of work â³, these chairs combine functionality with modern style âœ¨. Whether youâ€™re setting up a home office ğŸ , upgrading your corporate workspace ğŸ¢, or simply looking for a chair that keeps you productive and comfortable, our clearance collection has the perfect match for you âœ…. With unbeatable discounts ğŸ·ï¸, now is the best time to grab high-quality seating solutions that blend comfort, durability, and designâ€”without stretching your budget ğŸ’¯.","https://www.ikea.com/in/en/cat/office-chairs-20652/"
5,Mountain Bike,Outdoors,"bike, cycling, mountain",sports,/static/images/bike2.jpg,0.80,80,100,"Conquer every trail and road with our High-Performance Mountain Bikes â›°ï¸â€”engineered for adventure, speed, and durability. Whether youâ€™re tackling rugged mountain paths ğŸï¸, cycling through city streets , or enjoying a long weekend ride , these bikes deliver the perfect balance of power , control , and comfort . Built with strong frames, advanced gear systems âš™ï¸, and responsive brakes , theyâ€™re designed to keep up with your toughest challenges. From outdoor enthusiasts ğŸŒ to fitness seekers , our collection brings together road and mountain cycling in one placeâ€”so you can ride smarter, faster, and farther ğŸš€. Get ready to push limits, embrace the outdoors, and experience the thrill of cycling like never before ğŸŒŸ.","https://www.bmw-m.com/en/topics/magazine-article-pool/bmw-bikes.html"
6,Streaming Service Offer,Entertainment,"movies, series, streaming",homepage,/static/images/services-svod-netflix-ocs-disney-plus-apple-tv-amazon-prime-video.jpg,0.50,50,100,"Enjoy endless entertainment with our Streaming Service Offer ğŸ¬â€”bringing all your favorite platforms together in one place ğŸ“º. From the latest blockbuster movies and binge-worthy series ğŸ“¡ to documentaries ğŸŒ and family favorites ğŸ‘¨â€ğŸ‘©â€ğŸ‘§â€ğŸ‘¦, everything you love to watch is just a click away. Say goodbye to switching apps ğŸ”„ and hello to seamless streaming ğŸ¶. With one subscription, you unlock a world of entertainment designed to keep you hooked, relaxed, and entertained anytime, anywhere ğŸ’».","https://www.netflix.com/"
7,Yoga Mat Extra Grip,Fitness,"yoga, mat, fitness",wellness,/static/images/yoga2.jpg,0.35,35,100,"Elevate your wellness journey with our Yoga Mats ğŸ§˜â€â™€ï¸ designed with extra grip and superior comfort. Crafted for stability and support ğŸŒ¿, these mats help you maintain balance in every pose while protecting your joints ğŸ¤¸â€â™‚ï¸. Perfect for yoga, pilates, stretching, and home workouts ğŸ’ª, theyâ€™re lightweight, durable, and easy to carry ğŸ’. Discover the natural benefits of yogaâ€”better flexibility, improved posture, and a calmer mind ğŸ•Šï¸â€”with mats and accessories that support every move of your fitness routine.","https://www.decathlon.in/yoga-mats"
8,Travel Backpack,Travel,"backpack, travel, luggage",travel,/static/images/bag.webp,0.60,60,100,"Adventure meets practicality with our Travel Backpacks âœˆï¸â€”built to be your reliable companion for every journey. Whether youâ€™re off on a weekend getaway ğŸï¸, daily commute , college classes ğŸ“, or rugged trekking expedition ğŸ¥¾, these bags are designed for durability, comfort, and maximum storage ğŸ§³. With smart compartments ğŸ“‚, padded support ğŸª¶, and stylish designs ğŸ¨, they make carrying your essentials effortless and organized. From school to world travel ğŸŒ, weâ€™ve got the perfect backpack for every occasion.","https://www.ozukobags.com/"
9,Coffee Subscription,Food,"coffee, subscription, beverage",kitchen,/static/images/cofee3.jpg,0.45,45,100,"Start your mornings the right way with our Coffee Subscription ğŸŒ…â€”bringing fresh, aromatic blends straight to your doorstep . Choose from premium beans ğŸŒ±, rich powders , and a variety of flavors to match your mood and taste. Whether you love a bold espresso âš¡, a smooth latte ğŸ¥›, or a refreshing cold brew â„ï¸, our curated selection has it all. With exclusive discounts ğŸ·ï¸ and flexible delivery, youâ€™ll never run out of your favorite energizing beverage again ğŸš€. Make every sip a moment of joy and productivity âœ¨.","https://bluebottlecoffee.com/"
10,Winter Jacket Clearance,Fashion,"jacket, winter, clothing",fashion,/static/images/jacket2.webp,0.70,70,100,"Stay warm and stylish with our Winter Jacket Clearance ğŸ§¥â€”featuring protective clothing for every season. From cozy winter coats ğŸ¥¶ to lightweight jackets for breezy evenings , our collection combines comfort, warmth, and modern design ğŸ¨. Whether youâ€™re braving the cold outdoors , heading to work ğŸš‡, or enjoying casual outings ğŸ‘«, these jackets keep you comfortable without compromising on style. With unbeatable clearance prices ğŸ’¸, itâ€™s the perfect time to upgrade your wardrobe and stay protected in all seasons ğŸŒ¦ï¸.","https://www.thenorthface.com/"
